Gender;Age;Admission_Year;GPA;Total_Score;Math_EGE;Russian_EGE;Profile_EGE;Individual_Achievements;Admission_Category;Study_Form;Faculty;Competition_Per_Seat;Enrolled
Ж;18;2020;4,15;289;78;50;96;6;Общий конкурс;Заочная;Медицина;4,53;1
Ж;20;2025;3;216;46;90;84;5;Общий конкурс;Очная;Информатика;9,27;0
Ж;20;2025;3,55;234;58;54;57;3;Общий конкурс;Очная;Информатика;2,59;0
М;17;2022;3,76;227;97;53;48;10;Целевая квота;Очная;Биология;1,04;0
М;18;2023;3,99;257;65;41;72;7;Общий конкурс;Очная;Экономика;9,24;0
М;21;2022;4,26;228;79;69;40;8;Общий конкурс;Очная;Биология;9,35;0
М;20;2024;3,42;285;80;90;49;3;Общий конкурс;Очная;Филология;2,91;0
М;19;2020;4,15;257;50;90;97;7;Общий конкурс;Очная;Физика;6,76;0
Ж;17;2021;3,33;262;92;89;86;8;Общий конкурс;Очная;Экономика;6,3;0
Ж;22;2024;3,38;289;92;53;90;8;Общий конкурс;Очная;Юриспруденция;9,95;0
Ж;27;2021;3,74;216;93;88;59;0;Общий конкурс;Очная;Экономика;9,8;0
Ж;18;2022;4,91;239;63;95;54;3;Общий конкурс;Очная;Математика;6,62;0
Ж;20;2025;3,09;219;82;63;85;6;Общий конкурс;Очная;Физика;2,94;0
М;18;2024;4,09;225;55;61;40;5;Целевая квота;Очная;Юриспруденция;7,39;0
Ж;19;2021;4,59;202;78;70;42;2;Общий конкурс;Очная;Юриспруденция;7,09;0
Ж;17;2022;3,61;265;73;47;52;9;Общий конкурс;Очная;Экономика;5,24;0
Ж;24;2020;4,86;217;65;75;62;6;Целевая квота;Очная;Медицина;9,69;0
М;18;2024;4,7;238;80;77;51;5;Общий конкурс;Очная;Медицина;4,21;0
М;17;2024;4,05;234;81;95;66;10;Особая квота;Очная;Биология;3,33;0
Ж;25;2020;3,37;221;60;66;63;4;Общий конкурс;Очная;Математика;3,39;0
М;19;2022;4,62;276;84;92;91;10;Общий конкурс;Очная;Физика;4,44;1
Ж;20;2022;4,87;250;51;55;45;7;Общий конкурс;Очная;Математика;1,23;0
М;18;2020;3,51;249;63;76;68;9;Общий конкурс;Очная;Медицина;3,1;0
Ж;19;2022;3,35;289;98;79;66;8;Общий конкурс;Очная;Математика;1,26;0
М;20;2022;4,39;238;73;93;73;0;Общий конкурс;Заочная;Юриспруденция;1,22;0
Ж;17;2021;4,2;287;77;96;65;9;Общий конкурс;Заочная;Физика;9,76;0
М;17;2020;4,21;207;95;69;87;9;Особая квота;Очная;Филология;3,38;0
Ж;21;2024;3,7;230;47;46;84;6;Общий конкурс;Очная;Юриспруденция;3,3;0
М;19;2021;3,6;289;66;42;45;4;Общий конкурс;Заочная;Филология;4,39;0
М;19;2022;3,13;231;60;56;47;0;Общий конкурс;Очная;Экономика;5,96;0
М;23;2022;4,22;294;40;75;99;9;Общий конкурс;Заочная;Математика;3,4;1
М;18;2020;3,64;231;77;52;48;5;Общий конкурс;Очная;Филология;6,9;0
Ж;21;2022;4,14;212;77;70;94;1;Общий конкурс;Заочная;Экономика;8,9;0
Ж;19;2021;3,37;278;88;66;80;1;Общий конкурс;Очная;Физика;3,03;0
М;19;2023;3,06;289;72;67;75;3;Общий конкурс;Очная;Информатика;9,14;0
Ж;17;2025;4,65;210;81;70;62;6;Общий конкурс;Очная;Экономика;5,61;0
Ж;21;2021;4,86;276;100;98;61;0;Общий конкурс;Очная;Информатика;9,34;0
Ж;18;2021;4,15;200;68;73;56;5;Целевая квота;Очная;Физика;2,18;0
М;19;2025;3,57;298;65;76;69;2;Общий конкурс;Очная;Биология;6,2;0
М;17;2023;3,6;263;47;51;95;7;Общий конкурс;Очная;Медицина;1,27;0
М;25;2021;4,17;203;71;55;47;1;Целевая квота;Очная;Филология;4,52;0
М;23;2025;3,3;226;50;85;68;8;Особая квота;Очная;Физика;9,16;0
Ж;18;2021;4,89;258;84;72;98;9;Общий конкурс;Очная;Экономика;9,81;0
М;18;2024;4,78;201;95;62;40;3;Общий конкурс;Очная;Экономика;3,39;0
М;17;2024;3,54;238;87;78;74;4;Особая квота;Очная;Юриспруденция;5,29;0
Ж;19;2021;3,41;216;70;48;56;0;Общий конкурс;Заочная;Физика;5,76;0
М;17;2023;3,51;275;51;83;94;9;Общий конкурс;Очная;Медицина;6,33;0
М;17;2021;4,13;233;99;52;64;8;Общий конкурс;Очная;Медицина;1,78;0
М;25;2020;4,4;270;99;64;47;9;Особая квота;Очная;Физика;1,95;1
Ж;23;2024;3,33;235;69;72;64;6;Общий конкурс;Очная;Математика;9,56;0
Ж;19;2022;3,04;249;44;94;98;2;Общий конкурс;Заочная;Математика;2;0
Ж;18;2024;4,29;223;89;67;81;4;Общий конкурс;Очная;Юриспруденция;1,42;0
М;20;2021;3,3;247;80;64;54;3;Общий конкурс;Очная;Экономика;4,65;0
Ж;20;2020;3,76;251;71;98;66;5;Общий конкурс;Очная;Информатика;4,74;0
М;21;2025;3,31;287;83;98;42;7;Целевая квота;Очная;Медицина;3,25;0
Ж;24;2022;4,5;220;86;51;66;0;Общий конкурс;Заочная;Математика;5,57;0
М;22;2023;3,61;269;73;57;61;0;Общий конкурс;Заочная;Физика;1,42;0
М;17;2025;4,98;281;51;92;83;6;Общий конкурс;Очная;Экономика;5,59;0
Ж;19;2024;4,4;298;88;96;64;6;Общий конкурс;Заочная;Юриспруденция;4,4;1
Ж;18;2023;3,3;219;46;42;51;0;Общий конкурс;Очная;Филология;6,01;0
М;20;2021;4,94;277;43;62;79;1;Общий конкурс;Заочная;Филология;1,58;1
М;19;2022;5;280;42;65;45;1;Общий конкурс;Очная;Медицина;1,93;1
Ж;18;2021;3,47;284;78;100;86;7;Общий конкурс;Очная;Информатика;7,32;0
Ж;17;2022;4,93;278;100;65;86;9;Особая квота;Очная;Физика;6,86;0
Ж;17;2024;4,7;285;50;72;96;2;Общий конкурс;Очная;Юриспруденция;1,26;1
Ж;17;2023;3,62;220;45;94;72;0;Целевая квота;Очная;Физика;5,87;0
Ж;17;2023;3,05;223;54;54;60;3;Общий конкурс;Очная;Филология;7,99;0
М;24;2021;3,21;277;86;56;67;10;Общий конкурс;Очная;Физика;3,76;0
М;19;2020;3,57;262;79;62;81;2;Общий конкурс;Очная;Информатика;6,63;0
Ж;19;2024;3,41;256;52;83;55;7;Общий конкурс;Очная;Юриспруденция;9,75;0
М;19;2021;4,44;262;52;84;49;3;Общий конкурс;Заочная;Экономика;5,64;0
М;19;2025;3,7;272;99;42;74;3;Общий конкурс;Очная;Физика;9,98;0
Ж;22;2021;3,72;280;51;99;60;5;Общий конкурс;Очная;Биология;1,14;0
М;18;2020;3,52;240;56;40;49;7;Особая квота;Очная;Биология;7,14;0
Ж;24;2021;3,96;286;80;99;48;7;Общий конкурс;Очная;Математика;7,21;0
Ж;17;2025;3,79;296;44;95;50;8;Общий конкурс;Заочная;Физика;7,75;0
Ж;20;2021;3,46;296;66;52;54;1;Особая квота;Очная;Информатика;4,33;0
Ж;17;2023;3,72;240;99;46;54;7;Общий конкурс;Очная;Математика;3,64;0
М;20;2025;3,35;256;61;85;63;5;Общий конкурс;Очная;Биология;2,9;0
М;18;2022;4,06;225;55;97;86;0;Общий конкурс;Очная;Информатика;9,94;0
М;24;2020;3,98;242;48;68;42;0;Общий конкурс;Очная;Филология;7,1;0
Ж;18;2021;4,99;221;66;77;65;3;Целевая квота;Очная;Математика;8,66;0
Ж;18;2025;4,46;281;96;41;45;5;Целевая квота;Очная;Физика;7,2;0
М;18;2023;3,81;234;90;96;50;0;Целевая квота;Очная;Информатика;2,23;0
М;20;2021;4,75;211;92;54;94;3;Общий конкурс;Очная;Математика;7,11;0
М;17;2022;3,26;216;63;69;90;7;Общий конкурс;Заочная;Физика;8,09;0
М;20;2020;4,64;251;65;88;87;8;Особая квота;Очная;Биология;5,14;0
М;19;2023;4,06;211;61;89;62;10;Общий конкурс;Заочная;Филология;8,46;0
Ж;19;2024;4,44;225;92;96;100;0;Целевая квота;Очная;Экономика;3,23;0
Ж;18;2025;4,91;258;95;100;48;4;Общий конкурс;Очная;Информатика;1,16;1
М;18;2020;4,68;263;87;65;79;3;Целевая квота;Очная;Математика;7,01;0
Ж;19;2023;3,87;253;89;83;92;7;Общий конкурс;Очная;Юриспруденция;4,99;0
Ж;20;2023;4,71;218;63;44;40;1;Общий конкурс;Заочная;Биология;7,62;0
М;17;2020;3,5;300;86;88;62;1;Общий конкурс;Заочная;Юриспруденция;3,48;0
М;22;2020;4,71;263;92;68;69;6;Особая квота;Очная;Филология;1,51;1
М;18;2022;3,09;287;49;67;49;5;Общий конкурс;Очная;Математика;3,81;0
М;19;2020;4,6;232;56;82;92;8;Общий конкурс;Очная;Экономика;1,57;0
М;20;2025;4,81;284;67;83;86;0;Целевая квота;Очная;Медицина;7,6;0
М;20;2021;3,06;204;83;67;78;4;Целевая квота;Очная;Биология;7,1;0
Ж;17;2021;4,55;274;63;52;73;7;Общий конкурс;Очная;Экономика;2,58;1
Ж;17;2020;4,68;218;90;80;69;3;Общий конкурс;Очная;Юриспруденция;5,57;0
М;17;2022;3,94;295;56;70;64;3;Общий конкурс;Заочная;Информатика;6,31;0
М;27;2025;3,23;285;99;90;55;3;Целевая квота;Очная;Юриспруденция;2,8;0
Ж;21;2020;4,86;209;94;56;93;3;Общий конкурс;Очная;Филология;4,55;0
М;23;2020;3,77;252;97;66;48;6;Общий конкурс;Очная;Биология;4,32;0
Ж;20;2022;4,13;221;65;50;46;6;Общий конкурс;Очная;Математика;8,95;0
Ж;20;2022;4,45;298;78;57;60;4;Общий конкурс;Очная;Юриспруденция;2,59;1
Ж;17;2024;4,14;236;42;100;68;5;Общий конкурс;Очная;Филология;3,75;0
Ж;19;2023;3,22;223;97;40;78;5;Общий конкурс;Очная;Филология;7,24;0
Ж;18;2024;3,98;273;54;100;87;9;Общий конкурс;Очная;Филология;9,08;0
М;17;2022;4,49;218;56;100;83;0;Общий конкурс;Очная;Медицина;6,96;0
М;22;2023;4,31;296;70;67;94;9;Общий конкурс;Очная;Математика;9,46;0
М;23;2024;3,6;225;55;69;59;8;Общий конкурс;Очная;Экономика;2,46;0
М;17;2021;4,46;280;93;56;78;6;Общий конкурс;Очная;Юриспруденция;5,62;0
Ж;17;2021;3,62;250;57;68;48;8;Общий конкурс;Очная;Физика;9,5;0
Ж;19;2025;4,69;259;96;48;92;10;Общий конкурс;Очная;Филология;4,51;1
Ж;17;2023;4,09;204;93;87;70;9;Общий конкурс;Очная;Биология;3,81;0
М;20;2020;4,59;216;88;63;98;5;Целевая квота;Заочная;Юриспруденция;2,99;0
Ж;20;2020;3,65;218;88;74;77;3;Общий конкурс;Очная;Медицина;7,88;0
М;17;2020;3,88;290;90;47;80;2;Целевая квота;Очная;Биология;1,99;0
Ж;20;2025;4,12;233;79;88;43;10;Общий конкурс;Очная;Физика;8,89;0
Ж;17;2021;4,24;228;48;47;75;0;Целевая квота;Очная;Информатика;3,53;0
М;18;2023;3,32;213;86;91;83;6;Общий конкурс;Очная;Информатика;1,21;0
М;23;2023;4,69;245;67;92;59;9;Общий конкурс;Очная;Медицина;6,01;0
М;19;2021;3,72;255;76;63;62;5;Общий конкурс;Очная;Физика;4,52;0
Ж;20;2020;4,01;210;88;40;50;2;Общий конкурс;Очная;Биология;8,45;0
М;17;2020;4,37;227;69;66;41;8;Общий конкурс;Заочная;Экономика;5,78;0
М;25;2023;4,57;240;94;47;60;0;Особая квота;Очная;Биология;7,29;0
Ж;20;2020;4,55;300;49;75;43;4;Общий конкурс;Заочная;Биология;2,57;1
Ж;23;2023;4,27;269;81;54;49;5;Целевая квота;Очная;Юриспруденция;9,65;0
М;18;2023;3,52;211;79;56;78;5;Общий конкурс;Заочная;Биология;2,03;0
М;17;2024;3,59;232;91;77;98;3;Общий конкурс;Очная;Информатика;8,36;0
Ж;18;2020;4,27;255;41;83;46;1;Общий конкурс;Очная;Информатика;3,8;1
Ж;17;2022;4,36;261;55;94;83;3;Общий конкурс;Заочная;Экономика;7,44;0
М;20;2023;3,36;207;64;84;93;1;Общий конкурс;Заочная;Физика;3,92;0
Ж;19;2021;3,54;236;88;42;41;9;Целевая квота;Очная;Информатика;3,9;0
М;25;2020;4,43;252;67;51;68;5;Общий конкурс;Очная;Биология;6,11;0
М;17;2024;4,56;276;82;67;63;7;Общий конкурс;Очная;Информатика;4,85;1
М;19;2023;4,1;262;99;95;70;4;Общий конкурс;Очная;Биология;1,91;1
Ж;18;2021;4,64;267;63;90;89;2;Общий конкурс;Очная;Филология;2,74;1
Ж;18;2023;4,7;289;93;76;83;7;Общий конкурс;Заочная;Экономика;3,34;1
М;18;2023;3,06;232;77;81;87;4;Особая квота;Очная;Медицина;1,97;0
Ж;22;2020;3,35;239;53;80;51;2;Общий конкурс;Очная;Медицина;6,4;0
Ж;19;2024;3,23;224;40;68;91;7;Особая квота;Очная;Филология;8,65;0
Ж;19;2020;3,51;213;70;82;47;5;Особая квота;Очная;Информатика;5,47;0
Ж;17;2025;4,42;238;65;86;47;6;Общий конкурс;Заочная;Филология;9,28;0
Ж;21;2022;4,18;299;55;77;57;7;Общий конкурс;Очная;Биология;8,76;0
М;20;2021;4,24;247;87;45;68;4;Особая квота;Очная;Юриспруденция;5,11;0
М;17;2020;4,26;206;61;65;71;9;Общий конкурс;Заочная;Юриспруденция;8,77;0
Ж;24;2024;4,08;283;79;56;90;1;Общий конкурс;Очная;Экономика;6,4;0
Ж;20;2020;3,97;296;97;86;89;7;Общий конкурс;Очная;Физика;5,57;0
Ж;18;2021;4,58;252;50;72;49;10;Особая квота;Очная;Информатика;7,61;0
М;18;2024;4,63;262;44;40;53;9;Общий конкурс;Очная;Информатика;6,89;0
Ж;19;2022;4,72;279;57;92;99;3;Общий конкурс;Очная;Математика;1,51;1
Ж;19;2024;3,87;283;74;89;42;6;Общий конкурс;Очная;Филология;1,93;0
Ж;22;2023;3,29;299;93;71;64;8;Общий конкурс;Очная;Физика;9,02;0
Ж;19;2024;4,35;298;43;62;55;3;Особая квота;Очная;Информатика;8,36;0
Ж;19;2022;4,96;271;80;67;58;7;Общий конкурс;Очная;Экономика;7,04;0
М;17;2020;4,09;248;70;82;67;5;Общий конкурс;Заочная;Филология;4,98;0
Ж;19;2021;4,7;284;99;64;63;7;Общий конкурс;Очная;Информатика;4,41;1
М;19;2024;4,1;222;98;81;83;1;Общий конкурс;Очная;Биология;9,5;0
Ж;18;2022;4,46;251;42;91;50;6;Общий конкурс;Очная;Физика;5,86;0
М;19;2025;4,72;240;65;81;71;7;Общий конкурс;Очная;Физика;5,62;0
М;17;2025;3,27;267;100;68;56;6;Общий конкурс;Заочная;Информатика;3,18;0
М;18;2025;3,16;282;83;86;72;8;Общий конкурс;Очная;Информатика;4,03;0
М;22;2023;4,4;287;83;68;45;0;Общий конкурс;Очная;Медицина;9,5;0
М;18;2020;3,5;259;73;43;73;4;Общий конкурс;Очная;Математика;5,57;0
Ж;25;2021;4,05;289;99;44;58;1;Общий конкурс;Заочная;Юриспруденция;6,27;0
Ж;22;2022;4,57;218;96;58;76;4;Общий конкурс;Заочная;Математика;3,23;0
М;18;2024;3,98;207;69;40;86;1;Общий конкурс;Очная;Филология;1,02;0
Ж;18;2022;4,07;218;99;60;64;3;Общий конкурс;Заочная;Филология;3,38;0
М;19;2024;3,93;294;84;56;81;10;Общий конкурс;Очная;Биология;7,81;0
М;23;2023;4,45;287;65;79;78;3;Общий конкурс;Заочная;Юриспруденция;4,56;1
Ж;18;2023;4,95;235;85;93;78;3;Общий конкурс;Очная;Информатика;8,33;0
Ж;17;2021;3,83;243;98;51;41;9;Общий конкурс;Очная;Экономика;2,35;0
М;20;2020;3,24;209;48;97;99;3;Общий конкурс;Очная;Физика;4,63;0
М;19;2022;4,24;276;52;94;93;6;Общий конкурс;Очная;Медицина;9,16;0
М;24;2022;4,88;236;50;63;84;1;Общий конкурс;Очная;Юриспруденция;7,03;0
Ж;21;2023;4,87;224;47;52;77;3;Общий конкурс;Очная;Математика;5,02;0
М;19;2020;4,63;201;67;60;96;6;Общий конкурс;Очная;Физика;1,25;0
М;21;2022;4,03;270;99;78;66;8;Особая квота;Очная;Экономика;4,84;1
Ж;17;2021;4;240;57;90;55;7;Общий конкурс;Очная;Информатика;7,82;0
Ж;20;2023;4,77;240;72;74;77;7;Общий конкурс;Очная;Информатика;3,57;0
Ж;20;2022;3,54;231;48;41;92;9;Общий конкурс;Очная;Математика;3,32;0
Ж;18;2022;4,97;213;96;91;97;7;Общий конкурс;Очная;Биология;4,3;0
М;20;2021;3,45;250;42;74;99;3;Особая квота;Очная;Филология;2,91;0
Ж;19;2024;3,34;212;87;87;54;10;Общий конкурс;Очная;Биология;8,68;0
М;20;2020;4,68;274;96;52;60;10;Общий конкурс;Очная;Математика;8,08;0
М;17;2020;3,21;221;52;88;93;3;Общий конкурс;Очная;Биология;3,66;0
Ж;22;2020;3,36;204;74;81;74;2;Общий конкурс;Очная;Экономика;2,19;0
Ж;21;2025;4,85;256;83;82;55;4;Общий конкурс;Очная;Медицина;9,87;0
М;17;2022;3,27;223;56;68;66;10;Общий конкурс;Заочная;Информатика;4,57;0
Ж;18;2022;3,31;260;80;82;93;1;Общий конкурс;Заочная;Юриспруденция;5,22;0
Ж;18;2025;3,11;278;72;81;57;2;Общий конкурс;Очная;Экономика;4,91;0
Ж;17;2024;4,44;254;87;48;99;6;Общий конкурс;Очная;Математика;7,92;0
М;20;2022;3,38;214;100;46;87;2;Общий конкурс;Очная;Информатика;7,96;0
Ж;19;2025;3,25;208;50;88;79;10;Целевая квота;Очная;Биология;8,22;0
М;18;2020;3,9;275;70;79;61;1;Целевая квота;Очная;Экономика;2,44;0
Ж;17;2022;4,7;236;76;67;96;4;Целевая квота;Очная;Юриспруденция;2,08;0
М;17;2020;3,74;280;61;98;41;10;Общий конкурс;Очная;Юриспруденция;9,67;0
М;20;2024;3,36;270;40;41;88;10;Общий конкурс;Очная;Экономика;6,5;0
М;19;2025;3,04;205;57;60;53;7;Общий конкурс;Очная;Филология;4,7;0
Ж;17;2020;3,55;254;73;98;99;5;Общий конкурс;Очная;Биология;9,9;0
Ж;17;2020;3,46;275;75;43;82;6;Общий конкурс;Очная;Математика;8,22;0
М;24;2020;3,48;257;42;70;49;0;Общий конкурс;Очная;Математика;6,95;0
М;17;2020;4,53;235;52;85;40;6;Общий конкурс;Очная;Экономика;2,04;0
Ж;17;2021;3,56;290;82;43;86;7;Особая квота;Очная;Юриспруденция;9,95;0
М;17;2021;4,67;295;84;66;57;5;Общий конкурс;Очная;Юриспруденция;5,44;0
Ж;17;2024;3,33;282;74;94;62;3;Общий конкурс;Очная;Филология;4,06;0
М;18;2025;3,04;255;61;68;62;8;Общий конкурс;Очная;Биология;8,85;0
М;19;2023;3,77;215;64;60;44;4;Общий конкурс;Очная;Биология;3,38;0
Ж;24;2021;3,46;292;43;78;66;9;Особая квота;Очная;Медицина;9,09;0
М;17;2021;4,33;287;79;45;98;0;Общий конкурс;Очная;Биология;5,21;0
Ж;20;2024;3,97;249;50;77;88;0;Общий конкурс;Очная;Биология;3,28;0
Ж;17;2023;4,78;221;94;90;87;3;Общий конкурс;Очная;Экономика;9,97;0
М;23;2021;4,11;219;89;99;73;10;Общий конкурс;Заочная;Информатика;7,67;0
Ж;18;2020;3,39;267;79;61;58;0;Общий конкурс;Заочная;Математика;8,88;0
М;18;2022;3,71;300;93;78;93;0;Общий конкурс;Очная;Физика;7,76;0
М;18;2025;3,78;252;47;83;54;0;Общий конкурс;Очная;Филология;7,58;0
Ж;17;2024;4,31;245;60;93;54;6;Целевая квота;Очная;Филология;1,9;0
М;17;2023;4,05;275;70;76;72;1;Общий конкурс;Заочная;Медицина;1,38;1
Ж;18;2020;3,54;241;74;94;85;7;Целевая квота;Очная;Физика;1,19;0
М;19;2023;3,78;251;53;74;82;0;Особая квота;Очная;Математика;2,56;0
М;19;2023;4,04;238;99;96;80;8;Общий конкурс;Очная;Юриспруденция;7,92;0
Ж;21;2022;3,2;262;75;61;59;10;Особая квота;Заочная;Физика;2,49;0
Ж;20;2024;4,9;236;69;48;43;9;Общий конкурс;Очная;Математика;8,09;0
Ж;17;2022;3,77;295;93;96;67;0;Целевая квота;Заочная;Медицина;8,53;0
М;18;2024;3,7;235;49;95;99;6;Общий конкурс;Заочная;Медицина;5,35;0
Ж;20;2020;4,4;272;40;63;59;2;Общий конкурс;Очная;Медицина;4,09;1
М;23;2023;3,21;299;53;55;65;5;Общий конкурс;Очная;Юриспруденция;8;0
М;19;2022;4,13;219;93;61;100;3;Общий конкурс;Очная;Информатика;8,87;0
М;19;2023;4,75;262;51;51;72;3;Целевая квота;Очная;Юриспруденция;7,46;0
Ж;20;2023;4,92;273;68;92;97;2;Целевая квота;Очная;Филология;3,9;1
Ж;19;2025;4,74;292;43;66;91;1;Общий конкурс;Очная;Юриспруденция;4,41;1
Ж;20;2023;4,52;240;62;75;60;5;Общий конкурс;Очная;Медицина;6,57;0
М;19;2021;4,42;225;99;83;72;10;Общий конкурс;Очная;Экономика;2,79;0
Ж;23;2023;3,2;262;91;50;81;0;Общий конкурс;Очная;Филология;4,19;0
М;19;2021;3,38;225;70;92;96;4;Общий конкурс;Очная;Математика;6,98;0
Ж;25;2025;3,32;253;64;51;72;5;Общий конкурс;Очная;Биология;8,06;0
Ж;17;2021;3,26;216;50;49;81;2;Общий конкурс;Очная;Информатика;9,03;0
Ж;19;2022;4,93;281;72;47;54;6;Общий конкурс;Очная;Медицина;2,59;1
М;17;2025;3,38;205;94;57;85;5;Особая квота;Очная;Биология;5,88;0
М;18;2020;3,8;284;42;58;96;2;Общий конкурс;Очная;Биология;5,39;0
М;21;2025;4,44;293;47;64;89;10;Особая квота;Очная;Юриспруденция;4,94;1
Ж;17;2025;4,82;257;77;43;83;1;Общий конкурс;Очная;Биология;3,39;1
М;17;2022;4,82;253;74;72;60;7;Общий конкурс;Очная;Физика;9,76;0
Ж;19;2020;4,99;244;93;53;88;10;Общий конкурс;Очная;Филология;8,38;0
М;18;2020;3,27;223;68;45;49;4;Общий конкурс;Очная;Экономика;3,52;0
М;18;2021;3,73;267;91;75;88;8;Общий конкурс;Заочная;Математика;9,38;0
М;22;2020;4,75;213;47;41;87;3;Общий конкурс;Очная;Филология;3,73;0
М;17;2024;4,95;274;71;77;56;3;Общий конкурс;Очная;Физика;4,02;1
Ж;18;2023;4,75;205;100;90;82;0;Общий конкурс;Очная;Биология;9,26;0
М;18;2021;3,49;275;93;49;59;2;Общий конкурс;Заочная;Информатика;3,8;0
М;19;2023;4,66;275;48;65;90;8;Особая квота;Очная;Медицина;7,54;0
М;23;2021;4,63;300;64;83;60;3;Общий конкурс;Очная;Филология;1,62;1
М;24;2020;3,03;228;85;58;74;7;Общий конкурс;Очная;Филология;1,55;0
М;19;2020;3,34;299;82;51;83;8;Общий конкурс;Очная;Экономика;8,04;0
Ж;18;2020;4,91;258;68;84;68;10;Общий конкурс;Очная;Экономика;3,53;1
М;19;2023;3,23;286;71;97;82;1;Общий конкурс;Очная;Физика;7;0
Ж;18;2021;4,37;226;59;93;87;1;Общий конкурс;Очная;Медицина;6,65;0
Ж;17;2021;3,03;266;78;57;62;6;Общий конкурс;Очная;Физика;3,02;0
М;18;2023;3,64;224;48;76;49;7;Общий конкурс;Заочная;Юриспруденция;8,79;0
М;18;2023;4,86;282;86;60;47;3;Общий конкурс;Заочная;Информатика;6,2;0
Ж;17;2022;4,52;203;91;84;77;7;Общий конкурс;Очная;Экономика;1,92;0
Ж;24;2022;3,53;230;78;53;59;8;Общий конкурс;Очная;Филология;3,58;0
М;19;2023;3,95;282;78;90;83;4;Общий конкурс;Очная;Биология;3,16;0
Ж;21;2020;3,11;257;47;94;56;1;Общий конкурс;Очная;Физика;9,52;0
Ж;23;2021;3,75;236;69;42;86;10;Общий конкурс;Заочная;Юриспруденция;5,45;0
М;19;2024;3,84;297;46;84;52;1;Общий конкурс;Заочная;Математика;7,07;0
М;18;2023;3,78;207;93;59;48;2;Общий конкурс;Очная;Информатика;4,25;0
Ж;20;2021;4,23;248;65;46;81;3;Общий конкурс;Очная;Юриспруденция;8,55;0
М;18;2023;3,83;207;63;76;68;4;Целевая квота;Очная;Медицина;5,63;0
Ж;25;2025;3,25;274;68;51;41;10;Общий конкурс;Очная;Физика;4,32;0
Ж;24;2023;3,93;275;58;50;86;10;Общий конкурс;Очная;Биология;3,01;0
Ж;18;2025;4,87;209;47;91;75;6;Общий конкурс;Очная;Юриспруденция;6,13;0
М;20;2024;4,33;242;60;81;95;8;Общий конкурс;Очная;Биология;2,6;0
Ж;25;2025;3,15;207;92;99;98;1;Общий конкурс;Очная;Филология;3,48;0
М;20;2024;4,58;246;73;43;91;2;Общий конкурс;Очная;Филология;8,35;0
М;22;2024;3,73;288;91;82;54;7;Общий конкурс;Очная;Юриспруденция;4,42;0
М;20;2022;4,89;236;86;68;94;1;Общий конкурс;Очная;Филология;4,46;0
М;21;2021;3,73;295;43;78;50;7;Особая квота;Очная;Информатика;4,07;0
Ж;20;2020;4,05;212;83;91;65;0;Общий конкурс;Очная;Биология;5,01;0
М;20;2020;4,88;286;96;51;94;2;Особая квота;Очная;Медицина;2,19;1
М;19;2020;3,94;290;92;61;45;9;Особая квота;Очная;Биология;6,71;0
Ж;17;2025;4,38;201;88;80;41;4;Общий конкурс;Очная;Биология;2,56;0
М;25;2023;3,82;212;47;86;68;1;Общий конкурс;Очная;Юриспруденция;2,46;0
М;17;2020;4,14;204;80;95;97;4;Общий конкурс;Заочная;Медицина;2,1;0
М;18;2022;3,96;210;63;90;43;1;Общий конкурс;Очная;Юриспруденция;8,69;0
М;21;2023;3,44;267;57;67;83;9;Общий конкурс;Очная;Медицина;8,18;0
Ж;19;2022;4,34;275;87;85;60;5;Общий конкурс;Очная;Биология;2,36;1
Ж;19;2022;4,29;213;89;96;60;3;Общий конкурс;Очная;Математика;1,89;0
Ж;28;2022;3,49;274;72;56;83;2;Общий конкурс;Заочная;Юриспруденция;9,92;0
Ж;21;2024;3,48;258;46;55;96;10;Общий конкурс;Заочная;Медицина;4,56;0
М;18;2025;4,28;258;60;61;99;8;Целевая квота;Очная;Информатика;3,84;1
Ж;19;2024;4,61;270;48;51;45;8;Общий конкурс;Очная;Математика;5,81;0
Ж;19;2025;3,68;298;91;94;72;8;Общий конкурс;Очная;Биология;1,71;0
Ж;19;2023;3,56;272;45;97;52;9;Общий конкурс;Очная;Информатика;7,63;0
М;19;2025;4,27;262;91;98;60;10;Общий конкурс;Заочная;Физика;6,32;0
М;17;2025;3,22;236;72;88;98;3;Общий конкурс;Очная;Медицина;4,86;0
М;19;2022;4,36;277;69;81;92;5;Общий конкурс;Очная;Юриспруденция;3,22;1
Ж;19;2023;3,75;210;90;46;60;8;Целевая квота;Очная;Физика;2,8;0
М;19;2024;3,78;262;98;61;44;1;Общий конкурс;Очная;Юриспруденция;5,35;0
М;19;2021;4,76;284;61;72;53;0;Общий конкурс;Очная;Экономика;3,01;1
Ж;24;2021;3,31;204;74;58;61;10;Общий конкурс;Очная;Физика;4,56;0
М;19;2022;3,81;223;47;65;53;0;Общий конкурс;Очная;Экономика;5,8;0
Ж;19;2022;4,11;263;78;65;82;1;Общий конкурс;Очная;Математика;4,44;1
Ж;23;2022;3,44;264;79;79;93;8;Общий конкурс;Очная;Юриспруденция;9,38;0
М;19;2021;3,22;294;96;49;84;3;Общий конкурс;Очная;Математика;8,87;0
Ж;20;2025;3,64;223;72;70;81;3;Общий конкурс;Заочная;Экономика;2,19;0
М;22;2020;4,89;234;75;70;70;2;Общий конкурс;Очная;Медицина;8,94;0
